X-2,X-1,X
-1.7807,-1.1932,-0.80878
-2.7106,-1.7807,-1.1932
-4.1905,-2.7106,-1.7807
-6.5004,-4.1905,-2.7106
-9.8631,-6.5004,-4.1905
-13.884,-9.8631,-6.5004
-16.555,-13.884,-9.8631
-15.171,-16.555,-13.884
-10.32,-15.171,-16.555
-5.2197,-10.32,-15.171
-1.6085,-5.2197,-10.32
0.55265,-1.6085,-5.2197
1.8407,0.55265,-1.6085
2.7763,1.8407,0.55265
3.7223,2.7763,1.8407
4.9295,3.7223,2.7763
6.5764,4.9295,3.7223
8.7293,6.5764,4.9295
11.157,8.7293,6.5764
13.069,11.157,8.7293
13.31,13.069,11.157
11.478,13.31,13.069
8.5525,11.478,13.31
5.8317,8.5525,11.478
3.9385,5.8317,8.5525
2.8913,3.9385,5.8317
2.4973,2.8913,3.9385
2.5861,2.4973,2.8913
3.0818,2.5861,2.4973
4.0064,3.0818,2.5861
5.4578,4.0064,3.0818
7.5518,5.4578,4.0064
10.247,7.5518,5.4578
12.964,10.247,7.5518
14.32,12.964,10.247
13.09,14.32,12.964
9.857,13.09,14.32
6.383,9.857,13.09
3.7841,6.383,9.857
2.2161,3.7841,6.383
1.4226,2.2161,3.7841
1.1225,1.4226,2.2161
1.1344,1.1225,1.4226
1.3812,1.1344,1.1225
1.8702,1.3812,1.1344
2.6818,1.8702,1.3812
3.9707,2.6818,1.8702
5.961,3.9707,2.6818
8.8598,5.961,3.9707
12.486,8.8598,5.961
15.484,12.486,8.8598
15.438,15.484,12.486
11.796,15.438,15.484
7.0055,11.796,15.438
3.2064,7.0055,11.796
0.82084,3.2064,7.0055
-0.55261,0.82084,3.2064
-1.4048,-0.55261,0.82084
-2.1029,-1.4048,-0.55261
-2.9016,-2.1029,-1.4048
-4.0042,-2.9016,-2.1029
-5.6031,-4.0042,-2.9016
-7.8556,-5.6031,-4.0042
-10.701,-7.8556,-5.6031
-13.436,-10.701,-7.8556
-14.519,-13.436,-10.701
-12.83,-14.519,-13.436
-9.297,-12.83,-14.519
-5.7839,-9.297,-12.83
-3.2726,-5.7839,-9.297
-1.797,-3.2726,-5.7839
-1.0523,-1.797,-3.2726
-0.7482,-1.0523,-1.797
-0.70201,-0.7482,-1.0523
-0.82958,-0.70201,-0.7482
-1.1188,-0.82958,-0.70201
-1.6146,-1.1188,-0.82958
-2.4201,-1.6146,-1.1188
-3.7111,-2.4201,-1.6146
-5.7446,-3.7111,-2.4201
-8.7848,-5.7446,-3.7111
-12.708,-8.7848,-5.7446
-16.054,-12.708,-8.7848
-15.999,-16.054,-12.708
-11.889,-15.999,-16.054
-6.6171,-11.889,-15.999
-2.547,-6.6171,-11.889
-0.028594,-2.547,-6.6171
1.4446,-0.028594,-2.547
2.4283,1.4446,-0.028594
3.3263,2.4283,1.4446
4.4156,3.3263,2.4283
5.8979,4.4156,3.3263
7.8946,5.8979,4.4156
10.315,7.8946,5.8979
12.581,10.315,7.8946
13.551,12.581,10.315
12.381,13.551,12.581
9.6249,12.381,13.551
6.6692,9.6249,12.381
4.428,6.6692,9.6249
3.0823,4.428,6.6692
2.4669,3.0823,4.428
2.3813,2.4669,3.0823
2.709,2.3813,2.4669
3.4351,2.709,2.3813
4.6333,3.4351,2.709
6.4317,4.6333,3.4351
8.9079,6.4317,4.6333
11.801,8.9079,6.4317
14.067,11.801,8.9079
14.121,14.067,11.801
11.562,14.121,14.067
7.9033,11.562,14.121
4.7631,7.9033,11.562
2.6961,4.7631,7.9033
1.5543,2.6961,4.7631
1.0248,1.5543,2.6961
0.86341,1.0248,1.5543
0.9354,0.86341,1.0248
1.1968,0.9354,0.86341
1.6732,1.1968,0.9354
2.454,1.6732,1.1968
3.7004,2.454,1.6732
5.6504,3.7004,2.454
8.551,5.6504,3.7004
12.309,8.551,5.6504
15.637,12.309,8.551
15.913,15.637,12.309
12.239,15.913,15.637
7.1626,12.239,15.913
3.0918,7.1626,12.239
0.52742,3.0918,7.1626
-0.96259,0.52742,3.0918
-1.9135,-0.96259,0.52742
-2.7262,-1.9135,-0.96259
-3.6784,-2.7262,-1.9135
-4.983,-3.6784,-2.7262
-6.8112,-4.983,-3.6784
-9.2152,-6.8112,-4.983
-11.87,-9.2152,-6.8112
-13.751,-11.87,-9.2152
-13.53,-13.751,-11.87
-11.065,-13.53,-13.751
-7.7453,-11.065,-13.53
-4.9344,-7.7453,-11.065
-3.0981,-4.9344,-7.7453
-2.1187,-3.0981,-4.9344
-1.7404,-2.1187,-3.0981
-1.7713,-1.7404,-2.1187
-2.1263,-1.7713,-1.7404
-2.8187,-2.1263,-1.7713
-3.9467,-2.8187,-2.1263
-5.6768,-3.9467,-2.8187
-8.1748,-5.6768,-3.9467
-11.349,-8.1748,-5.6768
-14.283,-11.349,-8.1748
-15.065,-14.283,-11.349
-12.633,-15.065,-14.283
-8.4929,-12.633,-15.065
-4.7582,-8.4929,-12.633
-2.2438,-4.7582,-8.4929
-0.795,-2.2438,-4.7582
-0.0096169,-0.795,-2.2438
0.44726,-0.0096169,-0.795
0.79582,0.44726,-0.0096169
1.1798,0.79582,0.44726
1.7155,1.1798,0.79582
2.5337,1.7155,1.1798
3.8136,2.5337,1.7155
5.7976,3.8136,2.5337
8.7213,5.7976,3.8136
12.449,8.7213,5.7976
15.638,12.449,8.7213
15.721,15.638,12.449
11.993,15.721,15.638
7.011,11.993,15.721
3.0587,7.011,11.993
0.57932,3.0587,7.011
-0.85757,0.57932,3.0587
-1.7716,-0.85757,0.57932
-2.5501,-1.7716,-0.85757
-3.4627,-2.5501,-1.7716
-4.7198,-3.4627,-2.5501
-6.5019,-4.7198,-3.4627
-8.8944,-6.5019,-4.7198
-11.641,-8.8944,-6.5019
-13.772,-11.641,-8.8944
-13.848,-13.772,-11.641
-11.495,-13.848,-13.772
-8.0654,-11.495,-13.848
-5.0672,-8.0654,-11.495
-3.0695,-5.0672,-8.0654
-1.9726,-3.0695,-5.0672
-1.5014,-1.9726,-3.0695
-1.4375,-1.5014,-1.9726
-1.6706,-1.4375,-1.5014
-2.1881,-1.6706,-1.4375
-3.0612,-2.1881,-1.6706
-4.4382,-3.0612,-2.1881
-6.5236,-4.4382,-3.0612
-9.4559,-6.5236,-4.4382
-12.891,-9.4559,-6.5236
-15.33,-12.891,-9.4559
-14.678,-15.33,-12.891
-10.968,-14.678,-15.33
-6.5563,-10.968,-14.678
-3.1741,-6.5563,-10.968
-1.0837,-3.1741,-6.5563
0.095907,-1.0837,-3.1741
0.7945,0.095907,-1.0837
1.325,0.7945,0.095907
1.8994,1.325,0.7945
2.6857,1.8994,1.325
3.8582,2.6857,1.8994
5.623,3.8582,2.6857
8.1715,5.623,3.8582
11.426,8.1715,5.623
14.444,11.426,8.1715
15.224,14.444,11.426
12.667,15.224,14.444
8.3868,12.667,15.224
4.5714,8.3868,12.667
2.023,4.5714,8.3868
0.55343,2.023,4.5714
-0.26233,0.55343,2.023
-0.77354,-0.26233,0.55343
-1.2136,-0.77354,-0.26233
-1.7443,-1.2136,-0.77354
-2.509,-1.7443,-1.2136
-3.676,-2.509,-1.7443
-5.4618,-3.676,-2.509
-8.0861,-5.4618,-3.676
-11.508,-8.0861,-5.4618
-14.755,-11.508,-8.0861
-15.62,-14.755,-11.508
-12.848,-15.62,-14.755
-8.2508,-12.848,-15.62
-4.2194,-8.2508,-12.848
-1.5592,-4.2194,-8.2508
-0.017682,-1.5592,-4.2194
0.88175,-0.017682,-1.5592
1.5234,0.88175,-0.017682
2.1711,1.5234,0.88175
3.0225,2.1711,1.5234
4.2639,3.0225,2.1711
6.0928,4.2639,3.0225
8.6543,6.0928,4.2639
11.761,8.6543,6.0928
14.366,11.761,8.6543
14.647,14.366,11.761
11.964,14.647,14.366
7.9722,11.964,14.647
4.5333,7.9722,11.964
2.27,4.5333,7.9722
0.99325,2.27,4.5333
0.33278,0.99325,2.27
-0.0050929,0.33278,0.99325
-0.20286,-0.0050929,0.33278
-0.36556,-0.20286,-0.0050929
-0.5599,-0.36556,-0.20286
-0.84424,-0.5599,-0.36556
-1.292,-0.84424,-0.5599
-2.0154,-1.292,-0.84424
-3.193,-2.0154,-1.292
-5.0963,-3.193,-2.0154
-8.0566,-5.0963,-3.193
-12.147,-8.0566,-5.0963
-16.164,-12.147,-8.0566
-16.958,-16.164,-12.147
-12.954,-16.958,-16.164
-7.1241,-12.954,-16.958
-2.4706,-7.1241,-12.954
0.43323,-2.4706,-7.1241
2.1372,0.43323,-2.4706
3.2774,2.1372,0.43323
4.3106,3.2774,2.1372
5.5286,4.3106,3.2774
7.0989,5.5286,4.3106
9.0334,7.0989,5.5286
11.052,9.0334,7.0989
12.459,11.052,9.0334
12.432,12.459,11.052
10.822,12.432,12.459
8.4236,10.822,12.432
6.2025,8.4236,10.822
4.6542,6.2025,8.4236
3.836,4.6542,6.2025
3.6348,3.836,4.6542
3.9454,3.6348,3.836
4.7316,3.9454,3.6348
6.0197,4.7316,3.9454
7.8372,6.0197,4.7316
10.062,7.8372,6.0197
12.172,10.062,7.8372
13.174,12.172,10.062
12.275,13.174,12.172
9.8516,12.275,13.174
7.1077,9.8516,12.275
4.9438,7.1077,9.8516
3.6114,4.9438,7.1077
3.0049,3.6114,4.9438
2.9562,3.0049,3.6114
3.3631,2.9562,3.0049
4.2165,3.3631,2.9562
5.5828,4.2165,3.3631
7.5448,5.5828,4.2165
10.042,7.5448,5.5828
12.547,10.042,7.5448
13.862,12.547,10.042
12.892,13.862,12.547
10.044,12.892,13.862
6.8355,10.044,12.892
4.3511,6.8355,10.044
2.8258,4.3511,6.8355
2.0748,2.8258,4.3511
1.8601,2.0748,2.8258
2.0291,1.8601,2.0748
2.5354,2.0291,1.8601
3.427,2.5354,2.0291
4.8311,3.427,2.5354
6.9179,4.8311,3.427
9.7558,6.9179,4.8311
12.905,9.7558,6.9179
14.908,12.905,9.7558
14.034,14.908,12.905
10.549,14.034,14.908
6.5441,10.549,14.034
3.4863,6.5441,10.549
1.6044,3.4863,6.5441
0.57737,1.6044,3.4863
0.03984,0.57737,1.6044
-0.26709,0.03984,0.57737
-0.50131,-0.26709,0.03984
-0.76237,-0.50131,-0.26709
-1.1312,-0.76237,-0.50131
-1.7021,-1.1312,-0.76237
-2.6118,-1.7021,-1.1312
-4.0684,-2.6118,-1.7021
-6.3588,-4.0684,-2.6118
-9.7292,-6.3588,-4.0684
-13.834,-9.7292,-6.3588
-16.678,-13.834,-9.7292
-15.405,-16.678,-13.834
-10.484,-15.405,-16.678
-5.2426,-10.484,-15.405
-1.5216,-5.2426,-10.484
0.70682,-1.5216,-5.2426
2.0387,0.70682,-1.5216
3.0117,2.0387,0.70682
3.9983,3.0117,2.0387
5.2502,3.9983,3.0117
6.9331,5.2502,3.9983
9.0761,6.9331,5.2502
11.382,9.0761,6.9331
13.022,11.382,9.0761
12.957,13.022,11.382
11.009,12.957,13.022
8.2021,11.009,12.957
5.6927,8.2021,11.009
3.9907,5.6927,8.2021
3.088,3.9907,5.6927
2.8102,3.088,3.9907
3.0148,2.8102,3.088
3.6512,3.0148,2.8102
4.7577,3.6512,3.0148
6.428,4.7577,3.6512
8.7132,6.428,4.7577
11.376,8.7132,6.428
13.527,11.376,8.7132
13.791,13.527,11.376
11.681,13.791,13.527
8.3856,11.681,13.791
5.4009,8.3856,11.681
3.3663,5.4009,8.3856
2.2353,3.3663,5.4009
1.7538,2.2353,3.3663
1.7094,1.7538,2.2353
1.9948,1.7094,1.7538
2.6038,1.9948,1.7094
3.6172,2.6038,1.9948
5.1903,3.6172,2.6038
7.5044,5.1903,3.6172
10.571,7.5044,5.1903
13.727,10.571,7.5044
15.204,13.727,10.571
13.47,15.204,13.727
9.4897,13.47,15.204
5.5128,9.4897,13.47
2.6924,5.5128,9.4897
1.0213,2.6924,5.5128
0.10793,1.0213,2.6924
-0.41197,0.10793,1.0213
-0.7862,-0.41197,0.10793
-1.1752,-0.7862,-0.41197
-1.7024,-1.1752,-0.7862
-2.499,-1.7024,-1.1752
-3.7394,-2.499,-1.7024
-5.6588,-3.7394,-2.499
-8.4928,-5.6588,-3.7394
-12.147,-8.4928,-5.6588
-15.403,-12.147,-8.4928
-15.771,-15.403,-12.147
-12.317,-15.771,-15.403
-7.3985,-12.317,-15.771
-3.3826,-7.3985,-12.317
-0.82874,-3.3826,-7.3985
0.64971,-0.82874,-3.3826
1.5677,0.64971,-0.82874
2.317,1.5677,0.64971
3.1693,2.317,1.5677
4.3359,3.1693,2.317
6.0056,4.3359,3.1693
8.3058,6.0056,4.3359
11.094,8.3058,6.0056
13.557,11.094,8.3058
14.199,13.557,11.094
12.233,14.199,13.557
8.7756,12.233,14.199
5.5206,8.7756,12.233
3.2564,5.5206,8.7756
1.9605,3.2564,5.5206
1.3484,1.9605,3.2564
1.1673,1.3484,1.9605
1.2721,1.1673,1.3484
1.6169,1.2721,1.1673
2.2369,1.6169,1.2721
3.2417,2.2369,1.6169
4.8161,3.2417,2.2369
7.1908,4.8161,3.2417
10.46,7.1908,4.8161
14.01,10.46,7.1908
15.862,14.01,10.46
14.053,15.862,14.01
9.6022,14.053,15.862
5.1732,9.6022,14.053
2.0719,5.1732,9.6022
0.23007,2.0719,5.1732
-0.83344,0.23007,2.0719
-1.5511,-0.83344,0.23007
-2.2259,-1.5511,-0.83344
-3.0763,-2.2259,-1.5511
-4.2942,-3.0763,-2.2259
-6.0727,-4.2942,-3.0763
-8.5491,-6.0727,-4.2942
-11.55,-8.5491,-6.0727
-14.104,-11.55,-8.5491
-14.503,-14.104,-11.55
-12.053,-14.503,-14.104
-8.2329,-12.053,-14.503
-4.8535,-8.2329,-12.053
-2.5933,-4.8535,-8.2329
-1.3161,-2.5933,-4.8535
-0.67867,-1.3161,-2.5933
-0.40129,-0.67867,-1.3161
-0.31548,-0.40129,-0.67867
-0.3389,-0.31548,-0.40129
-0.44431,-0.3389,-0.31548
-0.64086,-0.44431,-0.3389
-0.96894,-0.64086,-0.44431
-1.5071,-0.96894,-0.64086
-2.3902,-1.5071,-0.96894
-3.8374,-2.3902,-1.5071
-6.1675,-3.8374,-2.3902
-9.6907,-6.1675,-3.8374
-14.117,-9.6907,-6.1675
-17.276,-14.117,-9.6907
-15.856,-17.276,-14.117
-10.409,-15.856,-17.276
-4.75,-10.409,-15.856
-0.82105,-4.75,-10.409
1.5109,-0.82105,-4.75
2.9262,1.5109,-0.82105
4.001,2.9262,1.5109
5.1146,4.001,2.9262
6.4925,5.1146,4.001
8.2186,6.4925,5.1146
10.156,8.2186,6.4925
11.811,10.156,8.2186
12.414,11.811,10.156
11.494,12.414,11.811
9.4531,11.494,12.414
7.2084,9.4531,11.494
5.4424,7.2084,9.4531
4.3759,5.4424,7.2084
3.9621,4.3759,5.4424
4.0972,3.9621,4.3759
4.7208,4.0972,3.9621
5.8326,4.7208,4.0972
7.4484,5.8326,4.7208
9.4827,7.4484,5.8326
11.541,9.4827,7.4484
12.795,11.541,9.4827
12.409,12.795,11.541
10.439,12.409,12.795
7.8694,10.439,12.409
5.6605,7.8694,10.439
4.2057,5.6605,7.8694
3.487,4.2057,5.6605
,3.487,4.2057
,,3.487
